State,Type,Strike,Call Price_MC,Put Price_MC,Call Price_Trinomial,Put Price_Trinomial,market_call,market_put
0,American,240,20.31684,25.04102,18.8194,23.0706,20.84999847,24.07499695
0,American,250,16.71321,31.58345,14.98932,29.49229,16.52500153,29.17500305
0,American,260,13.4854,38.55017,11.83695,36.72925,12.8499999,35.82499695
0,American,270,10.84263,46.049,9.27327,44.69274,9.775000095,43.375
0,American,280,8.45133,54.3806,7.2162,53.28556,7.399999619,52.65000153
0,European,240,21.75598,23.90369,18.8194,21.39956,,
0,European,250,17.14765,30.58595,14.98932,27.17738,,
0,European,260,14.39821,36.25659,11.83695,33.6329,,
0,European,270,11.98742,43.03303,9.27327,40.67711,,
0,European,280,9.09741,49.68284,7.2162,48.22793,,
1,American,240,9.82302,15.08467,13.09211,17.15218,20.84999847,24.07499695
1,American,250,6.3264,22.61354,9.37092,24.0311,16.52500153,29.17500305
1,American,260,3.89012,32.04238,6.58078,32.3274,12.8499999,35.82499695
1,American,270,2.19783,41.99034,4.54873,41.99069,9.775000095,43.375
1,American,280,1.20282,51.9715,3.11074,51.99069,7.399999619,52.65000153
1,European,240,10.75669,13.16968,13.09211,15.67227,,
1,European,250,7.15813,19.24134,9.37092,21.55897,,
1,European,260,4.34271,26.44263,6.58078,28.37673,,
1,European,270,2.76188,34.05902,4.54873,35.95257,,
1,European,280,1.57631,42.64234,3.11074,44.12247,,
2,American,240,12.57678,17.70795,14.52562,18.64417,20.84999847,24.07499695
2,American,250,8.93283,24.54301,10.75325,25.33389,16.52500153,29.17500305
2,American,260,6.21521,32.68879,7.82601,33.18362,12.8499999,35.82499695
2,American,270,4.12862,42.10564,5.60682,42.12799,9.775000095,43.375
2,American,280,2.66071,52.01491,3.96543,51.99069,7.399999619,52.65000153
2,European,240,13.5079,16.0124,14.52562,17.10578,,
2,European,250,9.81088,22.17361,10.75325,22.9413,,
2,European,260,6.79988,28.61004,7.82601,29.62195,,
2,European,270,4.52997,36.15621,5.60682,37.01066,,
2,European,280,3.27475,44.33075,3.96543,44.97716,,
